127.0.0.1 - - [23/Jul/2023:10:13:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:30 +0900] "GET /BookMarket/books HTTP/1.1" 200 5731
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:30 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:33 +0900] "GET /BookMarket/books/book?id=4567 HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:33 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:33 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:36 +0900] "POST /BookMarket/cart/add/4567 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:44 +0900] "GET /BookMarket/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:44 +0900] "GET /BookMarket/login HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:44 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:50 +0900] "POST /BookMarket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:50 +0900] "GET /BookMarket/books/add HTTP/1.1" 200 7462
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:13:50 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:14:10 +0900] "POST /BookMarket/books/add?_csrf=c63f2430-09d4-442a-8646-f28fd685a597 HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:14:10 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:14:11 +0900] "GET /BookMarket/books HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:14:11 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:14:21 +0900] "GET /BookMarket/books/add HTTP/1.1" 200 7462
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:14:21 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:14:57 +0900] "POST /BookMarket/books/add?_csrf=c63f2430-09d4-442a-8646-f28fd685a597 HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:14:57 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:01 +0900] "GET /BookMarket/books HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:01 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:06 +0900] "GET /BookMarket/books/book?id=4567 HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:06 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:06 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:10 +0900] "GET /BookMarket/books HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:11 +0900] "GET /BookMarket/books/book?id=ISBN1234 HTTP/1.1" 200 4596
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:11 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:11 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:13 +0900] "GET /BookMarket/books HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:14 +0900] "GET /BookMarket/books/add HTTP/1.1" 200 7462
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:14 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:34 +0900] "POST /BookMarket/books/add?_csrf=c63f2430-09d4-442a-8646-f28fd685a597 HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:34 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:35 +0900] "GET /BookMarket/books HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:35 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:37 +0900] "GET /BookMarket/books/book?id=ISBN1236 HTTP/1.1" 200 4266
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:37 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:37 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:40 +0900] "POST /BookMarket/cart/add/ISBN1236 HTTP/1.1" 204 -
