127.0.0.1 - - [03/Aug/2023:18:27:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:27:57 +0900] "GET /BookMarket/books HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:27:57 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:27:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:00 +0900] "GET /BookMarket/login HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:00 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:05 +0900] "POST /BookMarket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:05 +0900] "GET /BookMarket/books/add HTTP/1.1" 200 7453
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:05 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:07 +0900] "GET /BookMarket/books HTTP/1.1" 200 5022
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:07 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:08 +0900] "GET /BookMarket/books/book?id=ISBN1236 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:08 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:08 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:11 +0900] "POST /BookMarket/cart/add/ISBN1236 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:12 +0900] "GET /BookMarket/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:13 +0900] "GET /BookMarket/cart/9D9DAED629CDD8C6CF38A571A86F9B29 HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:13 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:13 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:14 +0900] "GET /BookMarket/cart/9D9DAED629CDD8C6CF38A571A86F9B29 HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:15 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:15 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:15 +0900] "GET /BookMarket/cart/9D9DAED629CDD8C6CF38A571A86F9B29 HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:15 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:15 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:16 +0900] "GET /BookMarket/cart/9D9DAED629CDD8C6CF38A571A86F9B29 HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:16 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:16 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:16 +0900] "GET /BookMarket/cart/9D9DAED629CDD8C6CF38A571A86F9B29 HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:16 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:16 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:17 +0900] "GET /BookMarket/cart/9D9DAED629CDD8C6CF38A571A86F9B29 HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:17 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Aug/2023:18:28:17 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
