127.0.0.1 - - [13/Sep/2023:13:04:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:25 +0900] "GET /BookMarket/books HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:25 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:28 +0900] "GET /BookMarket/books HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:28 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:31 +0900] "GET /BookMarket/login HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:32 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:35 +0900] "POST /BookMarket/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:35 +0900] "GET /BookMarket/books/add HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:35 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:38 +0900] "GET /BookMarket/books HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:38 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:40 +0900] "GET /BookMarket/books/book?id=ISBN9876 HTTP/1.1" 200 4270
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:40 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:40 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:42 +0900] "GET /BookMarket/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:42 +0900] "GET /BookMarket/cart/9520383C96C701CFE945E76756318E03 HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:42 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:42 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:44 +0900] "GET /BookMarket/books HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:44 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:47 +0900] "GET /BookMarket/books/book?id=ISBN9876 HTTP/1.1" 200 4270
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:47 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:47 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:48 +0900] "POST /BookMarket/cart/add/ISBN9876 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:50 +0900] "GET /BookMarket/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:50 +0900] "GET /BookMarket/cart/9520383C96C701CFE945E76756318E03 HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:50 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:50 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:51 +0900] "GET /BookMarket/books HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:51 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:54 +0900] "GET /BookMarket/books/book?id=ISBN1235 HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:54 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:54 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:55 +0900] "POST /BookMarket/cart/add/ISBN1235 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:57 +0900] "GET /BookMarket/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:57 +0900] "GET /BookMarket/cart/9520383C96C701CFE945E76756318E03 HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:57 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:04:57 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:05:00 +0900] "GET /BookMarket/order?cartId=9520383C96C701CFE945E76756318E03 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:05:00 +0900] "GET /BookMarket/order?execution=e1s1 HTTP/1.1" 200 4775
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:05:00 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:05:06 +0900] "POST /BookMarket/order?execution=e1s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:13:05:06 +0900] "GET /BookMarket/order?execution=e1s2 HTTP/1.1" 200 4670
